transaction_id,sku_id,transaction_date,qty,unit_price,customer_id,store_id_1,store_id_2,store_id_3,store_id_4,store_id_5,store_id_6,store_id_7,store_id_8,store_id_9,store_id_10
1,47,2024-05-18,3,57.1,439.0,False,False,False,False,True,False,False,False,False,False
1,37,2024-05-18,2,154.88,439.0,False,False,False,False,True,False,False,False,False,False
2,7,2024-02-18,3,163.11,834.0,False,False,False,True,False,False,False,False,False,False
3,44,2024-04-29,3,186.49,842.0,False,False,False,False,False,False,True,False,False,False
4,16,2024-03-27,1,79.32,,False,True,False,False,False,False,False,False,False,False
5,18,2024-04-18,1,125.73,288.0,False,False,False,True,False,False,False,False,False,False
5,30,2024-04-18,1,110.53,288.0,False,False,False,True,False,False,False,False,False,False
6,42,2024-01-26,3,33.89,1128.0,False,False,False,False,False,False,False,True,False,False
7,32,2024-02-12,1,60.7,485.0,True,False,False,False,False,False,False,False,False,False
7,31,2024-02-12,1,146.94,485.0,True,False,False,False,False,False,False,False,False,False
7,14,2024-02-12,2,156.88,485.0,True,False,False,False,False,False,False,False,False,False
7,26,2024-02-12,1,180.59,485.0,True,False,False,False,False,False,False,False,False,False
8,45,2024-03-14,3,145.46,932.0,False,False,False,False,False,False,True,False,False,False
8,47,2024-03-14,2,57.1,932.0,False,False,False,False,False,False,True,False,False,False
8,36,2024-03-14,1,131.4,932.0,False,False,False,False,False,False,True,False,False,False
8,43,2024-03-14,1,60.36,932.0,False,False,False,False,False,False,True,False,False,False
9,4,2024-05-28,3,51.54,120.0,False,False,False,False,True,False,False,False,False,False
9,48,2024-05-28,3,115.25,120.0,False,False,False,False,True,False,False,False,False,False
9,21,2024-05-28,1,166.14,120.0,False,False,False,False,True,False,False,False,False,False
9,38,2024-05-28,1,123.8,120.0,False,False,False,False,True,False,False,False,False,False
9,31,2024-05-28,3,146.94,120.0,False,False,False,False,True,False,False,False,False,False
10,44,2024-06-01,1,186.49,141.0,False,True,False,False,False,False,False,False,False,False
11,39,2024-03-04,3,176.96,1167.0,False,False,False,False,False,False,True,False,False,False
11,3,2024-03-04,3,26.52,1167.0,False,False,False,False,False,False,True,False,False,False
